0 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Graph@1da51a35 created.
1 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Graph@134593bf created.
2 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Network@4bb4de6a creation triggered.
5 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #0 creation in Graph@1da51a35 triggered.
5 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #0 creation in Graph@134593bf triggered.
5 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - NetworkNode@15bfd87 creation in Network@4bb4de6a triggered.
5 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #1 creation in Graph@1da51a35 triggered.
6 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #1 creation in Graph@134593bf triggered.
6 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - NetworkNode@43d7741f creation in Network@4bb4de6a triggered.
6 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #2 creation in Graph@1da51a35 triggered.
6 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #2 creation in Graph@134593bf triggered.
6 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - NetworkNode@1e4a7dd4 creation in Network@4bb4de6a triggered.
6 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #3 creation in Graph@1da51a35 triggered.
6 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #3 creation in Graph@134593bf triggered.
6 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - NetworkNode@7f416310 creation in Network@4bb4de6a triggered.
6 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0 creation in Graph@1da51a35 triggered.
6 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0 creation in Graph@134593bf triggered.
7 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - NetworkNode@3439f68d creation in Network@4bb4de6a triggered.
7 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0 creation in Graph@1da51a35 triggered.
7 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0 creation in Graph@134593bf triggered.
7 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - NetworkNode@de3a06f creation in Network@4bb4de6a triggered.
7 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #1 creation in Graph@1da51a35 triggered.
